Gene,Adj.P.Val,logFC
IL4,5.06e-07,1.105535
IL21,0.000167,1.1854719999999999
IL26,0.00036899999999999997,1.136436
CD3G,0.0008990000000000001,1.354881
CLEC7A,0.00221,1.11137
IFNG,0.00251,1.1781700000000002
IL17A,0.00321,1.05585
KLRG1,0.004070000000000001,1.142569
CX3CR1,0.004070000000000001,1.0817299999999999
CCR2,0.0051,1.149308
LY96,0.0108,1.045698
GZMK,0.0113,1.414958
SH2D1A,0.0132,1.048335
CXCR5,0.0141,1.180566
TNFRSF17,0.0148,1.072048
CCR5,0.0165,1.033707
KLRB1,0.0169,1.110358
BTLA,0.025,1.065353
MAGEA1,0.0251,1.336042
CD8B,0.0278,1.235684
NOS2A,0.0428,1.198993
