Gene,adj.P.Val,P.Value,t,B,logFC,GB_ACC,SPOT_ID
POS_B,1.05E-10,1.97E-13,-8.47595,20.1729,-0.830409,,ERCC_00112.1
POS_A,1.05E-10,2.68E-13,-8.413969,19.8713,-0.990327,,ERCC_00117.1
POS_D,1.35E-10,5.17E-13,-8.283158,19.236,-0.889657,,ERCC_00092.1
POS_E,2.02E-10,1.03E-12,-8.144874,18.5663,-1.116617,,ERCC_00035.1
POS_C,2.22E-10,1.42E-12,-8.081405,18.2596,-0.713281,,ERCC_00002.1
POS_F,2.59E-07,1.99E-09,-6.592391,11.2501,-0.961711,,ERCC_00034.1
IL4,5.06E-07,4.52E-09,6.4172,10.4572,1.105535,NM_000589.2,
IL11,3.99E-06,4.07E-08,-5.938651,8.3383,-1.928522,NM_000641.2,
TNFRSF12A,5.91E-05,6.79E-07,-5.300353,5.6378,-1.238108,NM_016639.1,
IL21,1.67E-04,2.13E-06,5.030167,4.5455,1.185472,NM_021803.2,
IL27,2.21E-04,3.11E-06,4.939007,4.1846,0.710917,NM_145659.3,
IFNA17,2.45E-04,3.75E-06,4.893168,4.0046,0.769365,NM_021268.2,
CEBPB,2.71E-04,4.50E-06,-4.848778,3.8313,-0.674215,NM_005194.2,
IFNA2,3.69E-04,7.17E-06,4.73423,3.3885,0.691475,NM_000605.3,
IL23R,3.69E-04,7.45E-06,4.724637,3.3517,0.768404,NM_144701.2,
IL26,3.69E-04,7.53E-06,4.721989,3.3416,1.136436,NM_018402.1,
CD44,8.99E-04,2.06E-05,-4.467849,2.3852,-0.638485,NM_001001392.1,
CD3G,8.99E-04,2.06E-05,4.467513,2.384,1.354881,NM_000073.2,
CD1E,9.60E-04,2.38E-05,4.43075,2.2485,0.839347,NM_001042583.1,
KIR3DL1,9.60E-04,2.45E-05,4.423664,2.2225,0.716411,NM_013289.2,
RELA,1.64E-03,4.39E-05,-4.271566,1.6707,-0.423926,NM_021975.2,
ITGB4,1.79E-03,5.02E-05,-4.236298,1.5447,-0.684469,NM_001005731.1,
AMBP,2.10E-03,6.17E-05,4.181299,1.3495,0.791386,NM_001633.3,NA
CLEC7A,2.21E-03,6.77E-05,4.156625,1.2626,1.11137,NM_197954.2,
C8A,2.51E-03,8.16E-05,4.10619,1.0859,0.614701,NM_000562.2,NA
IFNG,2.51E-03,8.50E-05,4.095415,1.0484,1.17817,NM_000619.2,
TGFB1,2.51E-03,8.68E-05,-4.089737,1.0287,-0.510548,NM_000660.3,
IFNA8,2.51E-03,8.96E-05,4.0812,0.999,0.544007,NM_002170.3,
IL1RAP,2.56E-03,9.76E-05,-4.057771,0.9178,-0.587771,NM_002182.2,
THBS1,2.56E-03,9.81E-05,-4.05654,0.9136,-0.832315,NM_003246.2,
IL2,2.97E-03,1.19E-04,4.004064,0.733,0.543697,NM_000586.2,
CLEC6A,2.97E-03,1.21E-04,3.998422,0.7137,0.651278,NM_001007033.1,
IL12B,3.06E-03,1.29E-04,3.982059,0.6578,0.516108,NM_002187.2,
ITGAE,3.06E-03,1.33E-04,3.973654,0.6292,0.69916,NM_002208.4,
ITGB1,3.06E-03,1.40E-04,-3.959436,0.5808,-0.45345,NM_033666.2,
LILRA1,3.06E-03,1.41E-04,3.958019,0.576,0.980021,NM_006863.1,
PLAUR,3.21E-03,1.58E-04,-3.926283,0.4685,-0.676475,NM_001005376.1,
IL17A,3.21E-03,1.58E-04,3.925739,0.4667,1.05585,NM_002190.2,
