Gene,adj.P.Val,P.Value,t,B,logFC,GB_ACC,SPOT_ID
RUNX1,0.0457,0.0000583,-4.196299,-0.0898,-0.63875,NM_001754.4,
CEBPB,0.4469,0.0011401,-3.348966,-1.779,-0.601098,NM_005194.2,
ITGB1,0.5168,0.0037826,-2.964303,-2.4562,-0.429071,NM_033666.2,
SPO11,0.5168,0.0047135,2.889991,-2.5797,0.605324,NM_198265.1,
CD276,0.5168,0.0056886,-2.825426,-2.685,-0.547349,NM_001024736.1,
CD99,0.5168,0.0059957,-2.807187,-2.7144,-0.481643,NM_002414.3,
SPA17,0.5168,0.0062747,-2.791346,-2.7398,-0.558009,NM_017425.3,
IL26,0.5168,0.0069602,2.755,-2.7977,0.865347,NM_018402.1,
IL4R,0.5168,0.0069645,-2.754783,-2.798,-0.454618,NM_000418.2,
LTBR,0.5168,0.007122,-2.746897,-2.8105,-0.431394,NM_002342.1,
FUT5,0.5168,0.0079173,2.709363,-2.8695,0.707213,NM_002034.2,
POS_B,0.5168,0.0080681,-2.702634,-2.88,-0.409908,,ERCC_00112.1
IL6,0.5168,0.0087899,-2.671935,-2.9276,-0.921314,NM_000600.1,
SAA1,0.5168,0.0093701,-2.648871,-2.9631,-1.000181,NM_199161.1,
EBI3,0.5168,0.0098884,2.629337,-2.993,0.793021,NM_005755.2,
PSMD7,0.5525,0.0131134,-2.525228,-3.1492,-0.332759,NM_002811.3,
ABL1,0.5525,0.0137805,-2.50662,-3.1765,-0.259961,NM_005157.3,NA
POS_A,0.5525,0.0147414,-2.481185,-3.2136,-0.452984,,ERCC_00117.1
POS_C,0.5525,0.0148619,-2.478101,-3.2181,-0.334044,,ERCC_00002.1
POS_E,0.5525,0.0150093,-2.474359,-3.2235,-0.519303,,ERCC_00035.1
IL1RAP,0.5525,0.017132,-2.423817,-3.2962,-0.451049,NM_002182.2,
LILRA1,0.5525,0.018143,2.401683,-3.3276,0.761392,NM_006863.1,
IL12A,0.5525,0.0184836,2.394472,-3.3378,0.785474,NM_000882.2,
IL11,0.5525,0.0187351,-2.389224,-3.3452,-1.073624,NM_000641.2,
POS_D,0.5525,0.0190478,-2.382783,-3.3542,-0.395387,,ERCC_00092.1
IL17B,0.5525,0.0192131,2.379418,-3.3589,0.575383,NM_014443.2,
IL23R,0.5525,0.0195603,2.372431,-3.3687,0.508376,NM_144701.2,
TNFRSF12A,0.5525,0.0207763,-2.348793,-3.4016,-0.739743,NM_016639.1,
DPP4,0.5525,0.0210871,-2.34295,-3.4097,-0.748605,NM_001935.3,
TNFRSF1A,0.5525,0.0217415,-2.330888,-3.4264,-0.28419,NM_001065.2,
UBC,0.5525,0.021847,-2.328973,-3.429,-0.242652,NM_021009.3,
ANP32B,0.5787,0.0246592,-2.280731,-3.4949,-0.286999,NM_006401.2,NA
IL21,0.5787,0.0251157,2.273361,-3.5048,0.715703,NM_021803.2,
LIF,0.5787,0.0257585,-2.263181,-3.5185,-0.795782,NM_002309.3,
ZNF143,0.5787,0.025834,-2.262001,-3.5201,-0.208494,NM_003442.5,
KIR3DL3,0.6711,0.0309383,2.188409,-3.6175,0.461245,NM_153443.3,
IL17RB,0.6711,0.0316716,2.178725,-3.6301,1.082716,NM_018725.3,
IRF7,0.7216,0.0357446,-2.128229,-3.6951,-0.46293,NM_001572.3,
IL15RA,0.7216,0.0361377,-2.123624,-3.7009,-0.443692,NM_002189.2,
CLEC6A,0.7216,0.0368176,2.11576,-3.7109,0.444684,NM_001007033.1,
C1R,0.7221,0.0382675,-2.099401,-3.7315,-0.406083,NM_001733.4,NA
REL,0.7221,0.0386825,-2.094817,-3.7373,-0.255056,NM_002908.2,
IL7,0.7254,0.0415033,2.064736,-3.7748,0.64173,NM_000880.2,
KIR3DL2,0.7254,0.0415601,2.064149,-3.7755,0.525513,NM_006737.2,
IL1R1,0.7254,0.0416337,-2.063388,-3.7765,-0.376309,NM_000877.2,
CXCL6,0.743,0.043762,-2.041892,-3.803,-0.859526,NM_002993.3,
MAF,0.743,0.0454607,-2.025367,-3.8232,-0.418982,NM_005360.4,
TANK,0.743,0.0462637,-2.017739,-3.8325,-0.244316,NM_004180.2,
EOMES,0.743,0.0475806,2.005471,-3.8473,0.517645,NM_005442.2,
IL2,0.743,0.0487514,1.994805,-3.8602,0.350494,NM_000586.2,
IFI16,0.743,0.050504,-1.97924,-3.8788,-0.287517,NM_005531.1,
NCR1,0.743,0.0507183,1.977367,-3.881,0.644661,NM_004829.5,
APP,0.743,0.0509385,-1.975452,-3.8833,-0.363774,NM_000484.3,NA
BAGE,0.743,0.0528164,1.95939,-3.9024,0.684401,NM_001187.1,NA
IFNA8,0.743,0.05377,1.951418,-3.9118,0.337759,NM_002170.3,
TFRC,0.743,0.0540295,1.949269,-3.9143,0.40149,NM_003234.1,
THBS1,0.743,0.0559134,-1.933929,-3.9323,-0.51472,NM_003246.2,
HRAS,0.743,0.0573366,-1.922627,-3.9455,-0.273133,NM_005343.2,
IL22RA1,0.743,0.0577266,-1.919571,-3.949,-0.48617,NM_021258.2,
IFNA17,0.743,0.0580609,1.916965,-3.9521,0.403436,NM_021268.2,
IL24,0.743,0.0580817,-1.916804,-3.9522,-1.060561,NM_181339.1,
AMBP,0.743,0.0600799,1.901493,-3.9699,0.469181,NM_001633.3,NA
HAMP,0.743,0.0620397,1.886887,-3.9867,0.447661,NM_021175.2,
MAGEC2,0.743,0.0628087,1.881262,-3.9931,0.635185,NM_016249.3,
NEG_E,0.743,0.0646359,-1.868123,-4.008,-0.442733,,ERCC_00098.1
SLC11A1,0.743,0.0649443,-1.865937,-4.0105,-0.563086,NM_000578.2,
DDX58,0.743,0.0652535,-1.863753,-4.013,-0.436755,NM_014314.3,
CD8B,0.743,0.0658812,1.859347,-4.0179,0.994586,NM_004931.3,
CD46,0.743,0.0670174,1.851459,-4.0268,0.19177,NM_172350.1,
IL4,0.743,0.0676071,1.847409,-4.0314,0.454878,NM_000589.2,
CLEC7A,0.743,0.0693794,1.835412,-4.0448,0.639832,NM_197954.2,
SIGIRR,0.743,0.0698702,1.832136,-4.0484,0.44487,NM_021805.2,
TLR5,0.743,0.0701596,1.830212,-4.0506,0.642593,NM_003268.3,
KLRG1,0.743,0.0719469,1.818479,-4.0636,0.700485,NM_005810.3,
