Gene,adj.P.Val,P.Value,t,B,logFC,GB_ACC,SPOT_ID
POS_B,1.44E-07,2.56E-10,-7.02219,13.2311,-0.72311,,ERCC_00112.1
POS_A,1.44E-07,4.09E-10,-6.92508,12.7853,-0.85785,,ERCC_00117.1
POS_D,1.44E-07,5.52E-10,-6.86231,12.4983,-0.77309,,ERCC_00092.1
POS_C,1.92E-07,9.79E-10,-6.7419,11.9503,-0.62163,,ERCC_00002.1
POS_E,3.26E-07,2.08E-09,-6.58294,11.2322,-0.95225,,ERCC_00035.1
POS_F,4.32E-05,3.31E-07,-5.46695,6.403,-0.82108,,ERCC_00034.1
IL4,5.97E-04,5.33E-06,4.80744,3.7723,0.8686,NM_000589.2,
IL26,3.80E-03,3.88E-05,4.30421,1.907,1.03094,NM_018402.1,
IL11,5.33E-03,6.12E-05,-4.18354,1.4803,-1.4273,NM_000641.2,
IFNA2,6.61E-03,8.43E-05,4.0976,1.1816,0.60039,NM_000605.3,
IFNA17,7.32E-03,1.03E-04,4.04415,0.998,0.64298,NM_021268.2,
IL27,8.03E-03,1.23E-04,3.99481,0.8301,0.5835,NM_145659.3,
IL17A,1.22E-02,2.02E-04,3.857,0.369,1.01885,NM_002190.2,
IL2,1.36E-02,2.43E-04,3.80525,0.1989,0.50984,NM_000586.2,
LILRA1,1.63E-02,3.11E-04,3.73423,-0.0317,0.91278,NM_006863.1,
AMBP,1.73E-02,3.53E-04,3.69857,-0.1463,0.69727,NM_001633.3,NA
KIR3DL3,1.91E-02,4.33E-04,3.63889,-0.3361,0.59034,NM_153443.3,
PIN1,1.91E-02,4.38E-04,-3.63587,-0.3457,-0.33202,NM_006221.2,
IL23R,2.01E-02,4.86E-04,3.60507,-0.4427,0.59761,NM_144701.2,
IFNA8,2.38E-02,6.18E-04,3.53419,-0.6635,0.47014,NM_002170.3,
C8A,2.38E-02,6.37E-04,3.52542,-0.6906,0.52724,NM_000562.2,NA
KIR3DL1,2.49E-02,7.46E-04,3.47793,-0.8364,0.56992,NM_013289.2,
IL21,2.49E-02,7.57E-04,3.47341,-0.8502,0.84771,NM_021803.2,
CEBPB,2.49E-02,7.70E-04,-3.46847,-0.8652,-0.49608,NM_005194.2,
TNFRSF12A,2.49E-02,7.95E-04,-3.45889,-0.8944,-0.84625,NM_016639.1,
CCL1,2.58E-02,8.61E-04,3.43463,-0.9679,0.65733,NM_002981.1,NA
FCGR1A,2.58E-02,8.90E-04,3.42476,-0.9978,0.86251,NM_000566.3,
KIR_Activating_Subgroup_1,2.89E-02,1.06E-03,3.37021,-1.1613,0.45002,NM_001083539.1,
LIF,2.89E-02,1.13E-03,-3.35125,-1.2176,-0.9167,NM_002309.3,
IL12B,2.89E-02,1.21E-03,3.33152,-1.276,0.43211,NM_002187.2,
PDCD1LG2,2.89E-02,1.21E-03,3.32981,-1.281,0.89224,NM_025239.3,
MASP2,2.89E-02,1.23E-03,3.3264,-1.2911,0.5674,NM_139208.1,
ELK1,2.89E-02,1.28E-03,-3.31305,-1.3304,-0.53384,NM_005229.3,
LY96,2.89E-02,1.28E-03,3.31214,-1.3331,0.99348,NM_015364.2,
CLEC7A,2.89E-02,1.30E-03,3.3083,-1.3443,0.89089,NM_197954.2,
CLEC6A,2.89E-02,1.32E-03,3.30247,-1.3614,0.539,NM_001007033.1,
