ID_REF,GSM3462913,GSM3462914,GSM3462915,GSM3462916,GSM3462917,GSM3462918,GSM3462919,GSM3462920,GSM3462921,GSM3462922,GSM3462923,GSM3462924,GSM3462925,GSM3462926,GSM3462927,GSM3462928,GSM3462929,GSM3462930,GSM3462931,GSM3462932,GSM3462933,GSM3462934,GSM3462935,GSM3462936,GSM3462937,GSM3462938,GSM3462939,GSM3462940,GSM3462941,GSM3462942,GSM3462943,GSM3462944,GSM3462945,GSM3462946,GSM3462947,GSM3462948,GSM3462949
A2M,266.68,482.11,198.89,155.6,260.03,571.4,317.3,101.4,297.12,212.76,290.89,253.19,187.9,527.67,264.57,133.65,285.1,326.85,226.29,403.15,425.95,261.31,453.38,247.51,319.21,149.87,523.35,258.51,376.36,206.18,222.92,392.73,355.69,275.23,246.97,404.59,160.62
ABCB1,17.35,26.07,1.97,2.4,57.69,12.54,15.37,2.74,28.84,16.71,10.04,10.53,1,4.07,4.7,16.17,1,8.19,2.26,7.57,37.15,1,30.78,7.23,16.54,4.59,23.8,12.48,25.39,4.09,1.2,4.4,18.77,8.87,7.4,22.27,9.66
ABCF1,279.68,391.14,275.7,228.11,250.64,281.15,256.18,473.06,407.59,224.64,183.74,278.3,182.58,290.6,277.3,271.68,288.26,441.66,490.73,247.24,348.08,400.3,302.8,322.89,326.42,256.24,373.67,309.6,309.21,314.96,287.77,276.94,246.48,266.43,205.75,308.15,323.69
ABL1,135.22,140.95,96.94,84.53,150.41,183.94,132.98,100.89,110.69,190.18,113.74,94.42,99.71,154.46,152.03,56.93,77.9,160.49,147.18,184.1,125.72,82.88,152.22,77.59,131.84,95.39,135.9,114.66,110.28,79.87,152.07,124.92,134.49,115.18,131.05,154.3,161.72
ADA,91.02,62.87,34.91,31.5,27,47.34,22.58,46.7,40.79,29.78,58.43,47.35,55.77,82.19,63.16,37.12,22.69,86.68,40.95,44.94,57.15,117.79,39.03,34.27,110.22,45.23,50.9,31.31,84.94,130.39,29.58,130.43,42.81,50.65,25.43,39.49,194.77
ADORA2A,1.15,4.36,1.82,1.22,10.08,4.45,4.3,7.85,13.69,7.2,16.96,4.42,1,6.14,4.19,4.74,9.3,7.02,2.26,11.44,3.85,4.36,3.16,4.58,3.6,1,11.48,12.48,25.39,3.57,25.98,8.34,1.95,1.57,43.46,1.15,4.15
AGK,30.67,41.95,14.82,46.34,66.46,55.99,65.78,88.11,85.13,63.05,74.85,51.03,40.05,42.82,47.35,34.09,52.65,118.31,65.82,84.88,52.21,95.72,42.29,45.35,63.38,53.02,91.55,59.54,68.47,79.36,56,32.76,20.68,59.39,76.95,78.52,35
AICDA,1.75,3.61,6.07,1.92,1,1.75,1.75,1,1.75,1.19,1,1.75,2.56,3.28,1.84,1.75,1.75,1.17,2.26,1.29,2.02,1.75,1.75,1.75,3.6,1,1,1.34,1.27,1,1.2,1,2.26,1.75,2.58,1.15,1.1
AIRE,1,1.33,2.23,1,1,7.66,6.61,1,7.03,1.19,1,3.11,1,1.2,3.96,1.44,33.24,1.17,2.26,1.29,15.35,1.63,8.55,10.71,3.6,1,1.01,1.34,1.27,1,1.2,1,7.09,1,2.58,1.15,1.1
AKT3,55.79,90.2,29.72,41.99,144.14,135.12,110.14,81.47,100.23,141.47,61.89,72.46,70.64,134.55,84.25,106.45,336.02,60.91,34.17,140.29,163.29,144.08,102.88,89.29,38.16,25.34,78.62,67.61,59.6,101.52,267.35,77.65,52.41,82.17,120.74,92.3,48.23
ALAS1,116.35,132.5,155.26,89.88,115.95,77.66,81.59,58.46,94.01,61.86,144.85,143.81,90.42,142.73,91.5,77.01,71.2,126.51,108.76,102.92,84.73,118.47,78.01,52.89,207.51,155.06,100.18,93.15,147.03,90.18,74.01,84.74,78.94,122.39,97.56,123.3,93.4
ALCAM,148.33,57.63,27.09,99.08,488.68,86.42,246.06,80.96,259.65,217.51,130.16,458.9,41.27,120.81,73.8,74.71,94.87,943.09,11.57,221.47,178.38,555.8,80.05,51.31,110.22,72.04,426.64,152.3,149.56,215.98,58.4,126.49,111.18,61.05,174.84,45.23,323.69
AMBP,1.75,3.61,6.07,1.92,1,1.75,1.75,1,1.75,1.19,1,1.75,2.56,3.28,1.84,1.75,1.75,1.17,2.26,1.29,2.02,1.75,1.75,1.75,3.6,1,1,1.34,1.27,1,1.2,1,2.26,1.75,2.58,1.15,1.1
