"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"GB_ACC"	"SPOT_ID"
"S100B"	"0.913"	"0.00308"	"3.162185"	"-4.27"	"1.440703"	"NM_006272.1"	""
"LCK"	"0.913"	"0.01178"	"2.647033"	"-4.37"	"1.217189"	"NM_005356.2"	""
"ITGAE"	"0.913"	"0.01298"	"2.607869"	"-4.38"	"0.546851"	"NM_002208.4"	""
"DUSP6"	"0.913"	"0.01557"	"2.533532"	"-4.39"	"0.709991"	"NM_001946.2"	""
"CRP"	"0.913"	"0.01782"	"-2.477567"	"-4.4"	"-0.931299"	"NM_000567.2"	""
"PRG2"	"0.913"	"0.02699"	"2.301232"	"-4.43"	"1.255444"	"NM_002728.4"	""
"TPTE"	"0.913"	"0.02996"	"-2.255809"	"-4.43"	"-0.888099"	"NM_199259.2"	""
"CD40"	"0.913"	"0.03045"	"2.248591"	"-4.44"	"0.597533"	"NM_001250.4"	""
"CXCL5"	"0.913"	"0.03179"	"-2.229771"	"-4.44"	"-2.146564"	"NM_002994.3"	""
"LILRA5"	"0.913"	"0.03372"	"-2.203684"	"-4.44"	"-1.601635"	"NM_181879.2"	""
"IKBKG"	"0.913"	"0.03502"	"-2.186792"	"-4.45"	"-0.447969"	"NM_003639.2"	""
"TFE3"	"0.913"	"0.03927"	"2.135482"	"-4.45"	"0.435032"	"NM_006521.3"	""
"TLR3"	"0.913"	"0.04516"	"2.071833"	"-4.46"	"1.349503"	"NM_003265.2"	""
"KIR_Activating_Subgroup_2"	"0.913"	"0.04549"	"-2.068528"	"-4.46"	"-0.532619"	"NM_014512.1"	""
"CD5"	"0.913"	"0.05333"	"1.994655"	"-4.48"	"0.727827"	"NM_014207.2"	""
"LILRA1"	"0.913"	"0.05439"	"-1.98549"	"-4.48"	"-1.030272"	"NM_006863.1"	""
"TNFSF11"	"0.913"	"0.05457"	"-1.983929"	"-4.48"	"-1.131608"	"NM_003701.2"	""
"G6PD"	"0.913"	"0.05666"	"-1.96614"	"-4.48"	"-0.554502"	"NM_000402.2"	""
"SPANXB1"	"0.913"	"0.06283"	"-1.916987"	"-4.49"	"-0.494914"	"NM_032461.2"	""
"MAP3K7"	"0.913"	"0.06423"	"-1.906386"	"-4.49"	"-0.286925"	"NM_145333.1"	""
"IGLL1"	"0.913"	"0.06521"	"-1.899115"	"-4.49"	"-0.655941"	"NM_020070.2"	""
"TCF7"	"0.913"	"0.06696"	"1.886277"	"-4.49"	"1.052689"	"NM_003202.2"	""
"GZMA"	"0.913"	"0.06809"	"1.878173"	"-4.49"	"1.248493"	"NM_006144.2"	""
"CNOT4"	"0.913"	"0.06951"	"-1.8682"	"-4.49"	"-0.298977"	"NM_001190848.1"	""
"BCL6"	"0.913"	"0.071"	"-1.857827"	"-4.5"	"-0.435776"	"NM_001706.2"	"NA"
