ID,adj.P.Val,P.Value,t,B,logFC,Gene,Gene.title
209563_x_at,0.000398,7.76E-09,-7.2114539,9.83262,-9.05E-01,CALM3///CALM2///CALM1,calmodulin 3///calmodulin 2///calmodulin 1
202715_at,0.000398,1.46E-08,7.0184202,9.26894,7.20E-01,CAD,"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase"
202894_at,0.00108,5.92E-08,6.5906755,8.00926,7.51E-01,EPHB4,EPH receptor B4
212127_at,0.001303,9.54E-08,6.4460163,7.58061,5.16E-01,RANGAP1,Ran GTPase activating protein 1
204382_at,0.002217,2.68E-07,6.1328085,6.6495,4.52E-01,NAT9,N-acetyltransferase 9 (putative)
213358_at,0.002217,2.68E-07,6.1324886,6.64854,1.41,MTCL1,microtubule crosslinking factor 1
213720_s_at,0.002217,3.23E-07,6.0752354,6.47804,7.69E-01,SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"
205659_at,0.002217,3.24E-07,-6.0743958,6.47554,-1.25,HDAC9,histone deacetylase 9
200999_s_at,0.002345,3.86E-07,6.0216462,6.31841,1.04,CKAP4,cytoskeleton associated protein 4
200655_s_at,0.002643,5.34E-07,-5.92312,6.02485,-9.03E-01,CALM3///CALM2///CALM1,calmodulin 3///calmodulin 2///calmodulin 1
205449_at,0.002643,5.76E-07,5.8999941,5.95594,9.19E-01,SAC3D1,SAC3 domain containing 1
208795_s_at,0.002643,5.80E-07,5.8979517,5.94985,8.68E-01,MCM7,minichromosome maintenance complex component 7
204351_at,0.002721,6.61E-07,-5.8584235,5.83207,-2.7,S100P,S100 calcium binding protein P
219073_s_at,0.002721,7.14E-07,-5.834843,5.76181,-1.18,OSBPL10,oxysterol binding protein like 10
210983_s_at,0.002721,7.46E-07,5.821351,5.72161,1.06,MCM7,minichromosome maintenance complex component 7
230464_at,0.002751,8.47E-07,5.7827911,5.60674,1.05,S1PR5,sphingosine-1-phosphate receptor 5
225162_at,0.002751,1.02E-06,-5.7272013,5.44117,-1.11,SH3D19,SH3 domain containing 19
213572_s_at,0.002751,1.03E-06,-5.7220039,5.42569,-1.31,SERPINB1,serpin family B member 1
202425_x_at,0.002751,1.08E-06,-5.7101773,5.39047,-6.60E-01,PPP3CA,protein phosphatase 3 catalytic subunit alpha
202626_s_at,0.002751,1.10E-06,-5.703143,5.36953,-1,LYN,"LYN proto-oncogene, Src family tyrosine kinase"
204372_s_at,0.002751,1.10E-06,5.7022985,5.36701,5.53E-01,KHSRP,KH-type splicing regulatory protein
243610_at,0.002751,1.11E-06,-5.7014834,5.36459,-2.62,C9orf135,chromosome 9 open reading frame 135
205278_at,0.002797,1.18E-06,5.681991,5.30655,1.94,GAD1,glutamate decarboxylase 1
200903_s_at,0.002797,1.23E-06,5.6699811,5.2708,9.23E-01,AHCY,adenosylhomocysteinase
236381_s_at,0.00308,1.44E-06,5.6208506,5.12459,7.73E-01,WRAP73,"WD repeat containing, antisense to TP73"
228538_at,0.00308,1.47E-06,-5.6158106,5.10959,-5.12E-01,ZNF662,zinc finger protein 662
202949_s_at,0.00308,1.52E-06,-5.6047499,5.07668,-1.06,FHL2,four and a half LIM domains 2
