Gene,Adj.P.Val,logFC
KDM6B,2.55e-06,-1.012463
NPIPA5///NPIPB5///LOC613037///NPIPB4///NPIPB3,1.01e-05,-1.28839
MARK2,1.6800000000000002e-05,-1.0590601
CHKB-CPT1B///CPT1B,1.6800000000000002e-05,-1.0004971999999999
nan,5.59e-05,-1.045068
INHBB,0.000772,-1.0834006999999999
NR4A1,0.000918,-1.222962
TPTEP1,0.0009429999999999999,-1.4679704
DES,0.0015400000000000001,-1.152323
HHLA1,0.00298,-1.3576735
EEF1A2,0.00307,-1.3075481000000002
FOSB,0.0064,-1.0900806
NR4A1,0.0088,-1.2124654
TPM2,0.00993,-1.3715102
