Gene,Adj.P.Val,logFC
LEPROT,3.24e-09,1.3089401000000003
FPGT,1.65e-08,1.4387704
TTC37,1.8300000000000002e-08,1.55356
PPIP5K2,1.8700000000000002e-08,1.0456779
VBP1,5.6e-07,1.1421333
AP3S1,5.6e-07,1.3581391999999999
PRDX4,5.6e-07,1.3188659
ANXA4,6.45e-07,1.0355924
TBCA,6.51e-07,1.0458785
CRYZ,6.51e-07,1.2855065
MAF,6.51e-07,1.7681761000000003
EIF3E,6.51e-07,1.2726247
CETN3,6.51e-07,1.1598028
ZC3H14,6.790000000000001e-07,1.1901989
PCMT1,7.159999999999999e-07,1.0904128
RP2,7.51e-07,1.2744693
PSMC6,7.970000000000001e-07,1.2350997
TM9SF2,7.970000000000001e-07,1.3104117
DHRS7,8.68e-07,1.0373728000000002
WRB,9.95e-07,1.1771633999999997
MRPS18B,1.2e-06,1.0743247
PIBF1,1.2e-06,1.0102972
NPTN,1.22e-06,1.0945468999999999
DUSP11,1.24e-06,1.1104117
NBN,1.27e-06,1.3792739
PCMT1,1.32e-06,1.2741399
ARL6IP1,1.34e-06,1.5062681
ARL1,1.42e-06,1.4303325
SAP18,1.42e-06,1.2082766
GDI2,1.42e-06,1.1670863999999999
PJA2,1.43e-06,1.3156602
CRADD,1.43e-06,1.1461542
SUCLA2,1.43e-06,1.0658007
ADH5,1.43e-06,1.0109344
PSMA5,1.44e-06,1.0415503000000002
PSMA2,1.75e-06,1.3609583
SERBP1,1.83e-06,1.4000591
COX7A2L,1.83e-06,1.0501858999999998
SCP2,1.94e-06,1.9519796000000003
RSU1,2.16e-06,1.110364
DEGS1,2.29e-06,1.2196886999999998
ZFR,2.3e-06,1.2058233999999999
SUB1,2.42e-06,1.4833147
LSM3,2.44e-06,1.0713826000000002
COPS5,2.44e-06,1.2482646000000002
COPB1,2.55e-06,1.1178211
UQCRB,2.56e-06,1.1543517
MBD2,2.58e-06,1.130734
LYPLA1,2.78e-06,1.347936
NDUFB1,2.97e-06,1.0151905
COX6C,3.13e-06,1.0818894
UQCRHL///UQCRH,3.25e-06,1.0401951999999999
MRPL3,3.38e-06,1.2413694
SP3,3.77e-06,1.0422645000000001
DSTN,4.08e-06,1.0295901
MORF4L2,4.08e-06,1.1242731000000001
OPTN,4.1e-06,1.1899
PSMD10,4.25e-06,1.0421158000000001
ATP6V1G1,4.31e-06,1.0354385
UBA3,4.43e-06,1.2270795
HAT1,4.43e-06,1.1284607
PPP2R5C,4.45e-06,1.0301266
ATP5C1,4.62e-06,1.0321049
FBXW11,4.62e-06,1.0308324
PRDX3,4.68e-06,1.0413253
KIAA0101,4.69e-06,1.1567258999999999
TDP2,4.69e-06,1.2776568000000001
LYRM1,4.79e-06,1.0394559
MORC3,4.79e-06,1.1559778
UBE2E1,4.79e-06,1.3383277
THUMPD1,4.79e-06,1.1994983000000001
NDUFA5,4.81e-06,1.2668873
SSBP1,4.81e-06,1.268294
UBE2N,5.05e-06,1.0761733
HACD2,5.12e-06,1.1767433
ARF6,5.17e-06,1.511644
RIN2,5.21e-06,1.2147106
SEC23A,5.21e-06,1.6591292000000002
CFDP1,5.23e-06,1.0835143999999999
LAMP2,5.25e-06,1.25166
DPM1,5.25e-06,1.7377851000000002
SUMO1,5.25e-06,1.1891447
ZMYND11,5.25e-06,1.0450518
MYL12A,5.25e-06,1.0898575000000001
Sep-15,5.33e-06,1.5826338
RPL36A-HNRNPH2///HNRNPH2,5.5e-06,1.0450624
UFL1,5.61e-06,1.3135549
BTF3,5.63e-06,1.0344479
DEK,6.05e-06,1.2949051
SLC25A5,6.07e-06,1.3109321000000003
ATP6V0E1,6.46e-06,1.0578341999999998
ACOT13,6.85e-06,1.0059409
PSMA3,7.05e-06,1.0083412
SSBP1,7.34e-06,1.2570747
GALNT1,7.36e-06,1.1845303
ARL6IP5,7.37e-06,1.2358919
SOD1,7.44e-06,1.2278685
TNFAIP8,7.85e-06,1.1659125
NSL1,7.85e-06,1.3106582
DNAJC25-GNG10///GNG10,7.92e-06,1.4737423
SRP9,8.18e-06,1.236859
PTP4A2,8.64e-06,1.490728
COX5B,8.81e-06,1.0519356000000002
NEK7,9.13e-06,1.0468679
HNRNPA1P10///HNRNPA1,9.29e-06,1.3017755
DBI,9.44e-06,1.4662779
MDH1,9.69e-06,1.3890641000000001
IFI16,1e-05,1.2797256000000001
VPS26A,1.01e-05,1.1103131000000002
DCTN6,1.01e-05,1.0793966
EIF3M,1.05e-05,1.1478092
CALM3///CALM2///CALM1,1.07e-05,1.454887
G3BP1,1.09e-05,1.2994447
USP1,1.1400000000000001e-05,1.2648063999999999
ACTR2,1.1599999999999999e-05,1.6538366000000002
SH3BGRL,1.21e-05,1.0890476
CAPZA1,1.21e-05,1.1815806
RALBP1,1.25e-05,1.0720948000000001
COPB2,1.25e-05,1.0048271999999998
PSMA4,1.27e-05,1.2123011000000001
TMEM59,1.3000000000000001e-05,1.2159618
CCNG2,1.4499999999999998e-05,1.1978445
PNRC1,1.4599999999999999e-05,1.3705698
PRKAR1A,1.4599999999999999e-05,1.1188102
SEC61G,1.6e-05,1.5689218999999999
CD164,1.6100000000000002e-05,1.5261828000000002
HNRNPA2B1,1.62e-05,1.1573383999999998
CLEC2B,1.67e-05,1.5684285
ACTR3,1.6800000000000002e-05,1.4661442
RECQL,1.7e-05,1.3083489
ATP5H,1.7199999999999998e-05,1.0030815999999998
MICU2,1.77e-05,1.4482968
DICER1,1.77e-05,1.237199
GALC,1.7800000000000002e-05,1.2523389999999999
BZW1,1.8100000000000003e-05,1.3089692
SNORA41///EEF1B2,1.9e-05,1.1505618999999998
SARAF,1.91e-05,1.587764
PLS3,2.02e-05,1.4510561000000002
IARS2,2.0300000000000002e-05,1.0625495
SNORD14D///SNORD14C///HSPA8,2.0300000000000002e-05,1.0532031000000002
RNF6,2.05e-05,1.2989064
RNF13,2.07e-05,1.2343521000000002
DPYD,2.33e-05,1.1720374
HMGB2,2.42e-05,1.2194246000000002
ANXA5,2.4299999999999998e-05,1.0152093
EPS15,2.57e-05,1.0157261999999998
