Gene,Adj.P.Val,logFC
ZNF207,2.31e-09,1.1105003
DUSP11,3.4600000000000005e-09,1.2122989
HNRNPR,3.81e-09,1.1943471
PCMT1,3.84e-09,1.153303
ABI1,4.27e-09,1.0160209
PLS3,4.27e-09,1.7886566000000002
GNAI1,4.970000000000001e-09,1.9830979
HNRNPC,4.970000000000001e-09,1.0540218000000001
ACBD3,4.970000000000001e-09,1.2188885
SEC24B,4.970000000000001e-09,1.007686
ACTR3,4.970000000000001e-09,1.776504
NPTN,4.970000000000001e-09,1.1699658000000002
G3BP1,4.970000000000001e-09,1.541922
SLC25A5,4.970000000000001e-09,1.5119748
SAP18,4.970000000000001e-09,1.3014921999999998
UBE2N,6.48e-09,1.2252579
DPM1,6.629999999999999e-09,1.9817743000000003
NBN,6.629999999999999e-09,1.468734
TWF1,6.629999999999999e-09,1.407942
BZW1,7.3e-09,1.5776108
MORC3,8.040000000000001e-09,1.3055638999999999
ARL6IP1,8.040000000000001e-09,1.6015037
MIR636///SRSF2,9.29e-09,1.4862554
AMD1,9.29e-09,1.4930273
RAB1A,9.7e-09,1.1218703
G3BP2,1.1100000000000002e-08,1.1175066999999999
MICU2,1.1899999999999999e-08,1.7197596999999998
GALNT1,1.24e-08,1.346892
MORF4L2,1.24e-08,1.2409235
LYPLA1,1.3e-08,1.4618118999999998
HACD2,1.31e-08,1.3126228000000002
TPM4,1.4499999999999999e-08,1.3458326
UBE2E1,1.4499999999999999e-08,1.485524
HNRNPA1P10///HNRNPA1,1.47e-08,1.4892087
ANXA7,1.66e-08,1.5736898000000001
AP3S1,1.66e-08,1.339548
PPP2R5E,1.77e-08,1.0032089
CAPZA1,1.79e-08,1.3617048999999999
MIR4738///H3F3B///H3F3A,1.79e-08,1.1056712
TTC37,1.82e-08,1.436489
SERINC5,1.94e-08,1.5351141000000001
RAP1B,1.94e-08,1.7505053
ACTR2,2.2200000000000004e-08,1.8924604999999999
NEK7,2.2599999999999997e-08,1.1834657
RPL36A-HNRNPH2///HNRNPH2,2.3500000000000002e-08,1.1535163
TOMM34,2.37e-08,1.8304836
CALM3///CALM2///CALM1,2.74e-08,1.6509243999999998
CYCS,2.97e-08,1.4160203000000002
SCAF11,2.97e-08,1.3778156000000001
CREB1,2.97e-08,1.3002431
RDX,2.97e-08,1.091539
SCAF11,3.04e-08,1.0143010000000001
HNRNPK,3.09e-08,1.1365545
HNRNPA2B1,3.1299999999999996e-08,1.3333802
EIF4G2,3.25e-08,1.0473322
NCKAP1,3.2900000000000003e-08,1.0537346
TOR1AIP1,3.35e-08,1.3898813
TLK1,3.48e-08,1.1167069
SERBP1,3.48e-08,1.4519665000000002
MAPK6,3.48e-08,1.3637681000000001
MBD2,3.95e-08,1.1877069
RNF6,3.95e-08,1.5039239
UBA3,4.0199999999999996e-08,1.3171483
RP2,4.3e-08,1.2625763
UBE2D2,4.3300000000000004e-08,1.1629085
nan,4.3300000000000004e-08,1.5443322
PRMT1,4.4000000000000004e-08,1.0241022
TXNL1,4.4100000000000004e-08,1.0587983
EIF1AX,4.4800000000000004e-08,1.5206023000000002
Sep-10,4.66e-08,1.0489226
PRKAR1A,4.66e-08,1.2671068
SUCLA2,4.8099999999999994e-08,1.0820691
FBXW11,5.2e-08,1.0985703000000002
YME1L1,5.2099999999999997e-08,1.3364364
DCTN6,5.2099999999999997e-08,1.1963078999999999
VPS26A,5.4500000000000005e-08,1.2289004
SMC5,5.6100000000000006e-08,1.2564604
LEPROT,5.94e-08,1.1369663
PSMC6,5.94e-08,1.2128048999999999
OPTN,5.94e-08,1.2560083
UBXN4,6.55e-08,1.0941267
TES,6.6e-08,1.0940966
THUMPD1,6.68e-08,1.2739346999999999
HAT1,7.110000000000001e-08,1.1890844999999999
DSTN,8.019999999999999e-08,1.0771499
NUP153,8.61e-08,1.0280249
MDH1,8.92e-08,1.5136234
DICER1,9.02e-08,1.3867065
RNF13,9.039999999999999e-08,1.3940708
SMC3,9.289999999999999e-08,1.0260996999999998
LOC100506248///MIR1244-2///MIR1244-3///MIR1244-1///LOC728026///PTMA,9.289999999999999e-08,1.4188319
ATP6V1G1,9.69e-08,1.0808776000000002
UBQLN2,9.810000000000001e-08,1.4707037
ARF6,1.0099999999999999e-07,1.5941648000000002
LRRFIP1,1.0199999999999999e-07,1.5148632
HPRT1,1.0300000000000001e-07,1.3526062
EIF4H,1.23e-07,1.3020346
UFL1,1.26e-07,1.3827205
SCP2,1.3e-07,1.9531095
SERINC1,1.33e-07,1.2844779
DEK,1.34e-07,1.3647265
RAD21,1.4e-07,1.3663713
SYPL1,1.4e-07,1.0519209999999999
TOMM70,1.45e-07,1.0506389999999999
CD164,1.47e-07,1.6788543000000002
CAV2,1.47e-07,1.6595832999999998
QKI,1.49e-07,1.3528927
HNRNPA0,1.7699999999999998e-07,1.0905407
SEC63,1.78e-07,1.1152585
SUMO1,1.8e-07,1.2360934
PTP4A2,1.8800000000000002e-07,1.5827303
RALBP1,1.8899999999999999e-07,1.1581068
C6orf62,2.0399999999999997e-07,1.0978661
