ID,adj.P.Val,P.Value,t,B,logFC,Gene,Gene.title
35368_at,2.31E-09,1.83E-13,10.370428,20.47247,1.1105003,ZNF207,zinc finger protein 207
40951_at,3.06E-09,4.84E-13,-10.055423,19.53489,-1.5665002,NPIPA5///NPIPB5///LOC613037///NPIPB4///NPIPB3,nuclear pore complex interacting protein family member A5///nuclear pore complex interacting protein family member B5///nuclear pore complex interacting protein member///nuclear pore complex interacting protein family member B4///nuclear pore complex interacting protein family member B3
1330_at,3.46E-09,1.04E-12,-9.810071,18.79532,-0.6946624,MAP3K3,mitogen-activated protein kinase kinase kinase 3
39727_at,3.46E-09,1.17E-12,9.771656,18.67879,1.2122989,DUSP11,dual specificity phosphatase 11
35935_at,3.46E-09,1.37E-12,-9.722417,18.52915,-0.9156377,CHKB-CPT1B///CPT1B,CHKB-CPT1B readthrough (NMD candidate)///carnitine palmitoyltransferase 1B
39792_at,3.81E-09,1.81E-12,9.634708,18.26181,1.1943471,HNRNPR,heterogeneous nuclear ribonucleoprotein R
37737_at,3.84E-09,2.13E-12,9.582919,18.10348,1.153303,PCMT1,protein-L-isoaspartate (D-aspartate) O-methyltransferase
33886_at,4.27E-09,2.75E-12,9.502885,17.85813,1.0160209,ABI1,abl interactor 1
34793_s_at,4.27E-09,3.04E-12,9.470406,17.75832,1.7886566,PLS3,plastin 3
33809_at,4.97E-09,4.29E-12,9.362347,17.42529,1.9830979,GNAI1,G protein subunit alpha i1
33666_at,4.97E-09,4.68E-12,9.335661,17.34282,1.0540218,HNRNPC,heterogeneous nuclear ribonucleoprotein C (C1/C2)
36827_at,4.97E-09,5.48E-12,9.286157,17.1896,1.2188885,ACBD3,acyl-CoA binding domain containing 3
35845_at,4.97E-09,5.81E-12,9.267535,17.13188,1.007686,SEC24B,"SEC24 homolog B, COPII coat complex component"
35271_at,4.97E-09,6.34E-12,9.240563,17.0482,1.776504,ACTR3,ARP3 actin related protein 3 homolog
35747_at,4.97E-09,6.68E-12,9.224282,16.99765,1.1699658,NPTN,neuroplastin
41133_at,4.97E-09,6.71E-12,9.222569,16.99233,1.541922,G3BP1,G3BP stress granule assembly factor 1
37740_r_at,4.97E-09,7.19E-12,9.201148,16.92576,1.5119748,SLC25A5,solute carrier family 25 member 5
