ID,adj.P.Val,P.Value,t,B,logFC,Gene,Genetitle
33830_at,3.24E-09,2.57E-13,10.257177,20.01805,1.3089401,LEPROT,leptin receptor overlapping transcript
38139_at,1.65E-08,2.61E-12,9.515333,17.81467,1.4387704,FPGT,fucose-1-phosphate guanylyltransferase
40517_at,1.83E-08,4.35E-12,9.355228,17.32934,1.55356,TTC37,tetratricopeptide repeat domain 37
35167_at,1.87E-08,5.91E-12,9.259375,17.03717,1.0456779,PPIP5K2,diphosphoinositol pentakisphosphate kinase 2
38375_at,4.29E-07,1.70E-10,8.229544,13.82729,0.8484367,ESD,esterase D
171_at,5.60E-07,3.92E-10,7.978304,13.02646,1.1421333,VBP1,VHL binding protein 1
41329_at,5.60E-07,4.28E-10,7.952214,12.94295,0.4850937,SCYL3,SCY1 like pseudokinase 3
38074_at,5.60E-07,4.55E-10,7.934076,12.88485,1.3581392,AP3S1,adaptor related protein complex 3 sigma 1 subunit
549_at,5.60E-07,4.82E-10,7.916522,12.8286,0.875129,RARS,arginyl-tRNA synthetase
37733_at,5.60E-07,4.93E-10,7.909698,12.80673,0.7698375,MAPK14,mitogen-activated protein kinase 14
37163_at,5.60E-07,5.26E-10,-7.890274,12.74444,-0.6814685,ABTB2,ankyrin repeat and BTB domain containing 2
38435_at,5.60E-07,5.32E-10,7.886986,12.73389,1.3188659,PRDX4,peroxiredoxin 4
35787_at,6.33E-07,6.52E-10,7.826342,12.53919,0.9734553,DYNC1I2,dynein cytoplasmic 1 intermediate chain 2
37374_at,6.45E-07,7.16E-10,7.7984,12.44937,1.0355924,ANXA4,annexin A4
41279_f_at,6.51E-07,8.01E-10,-7.764904,12.3416,-0.619024,MAPK8IP1,mitogen-activated protein kinase 8 interacting protein 1
34773_at,6.51E-07,1.00E-09,7.698263,12.12693,1.0458785,TBCA,tubulin folding cofactor A
40605_at,6.51E-07,1.05E-09,7.683768,12.08018,0.7916359,SNX4,sorting nexin 4
37902_at,6.51E-07,1.06E-09,7.681436,12.07266,1.2855065,CRYZ,crystallin zeta
41504_s_at,6.51E-07,1.06E-09,7.681168,12.0718,1.7681761,MAF,MAF bZIP transcription factor
38681_at,6.51E-07,1.06E-09,7.680843,12.07075,1.2726247,EIF3E,eukaryotic translation initiation factor 3 subunit E
32886_at,6.51E-07,1.12E-09,-7.664912,12.01935,-0.7689945,GCGR,glucagon receptor
35232_f_at,6.51E-07,1.22E-09,7.640475,11.94048,1.1598028,CETN3,centrin 3
35451_s_at,6.51E-07,1.23E-09,-7.636217,11.92673,-0.7527807,WDR73,WD repeat domain 73
31530_at,6.51E-07,1.25E-09,-7.633224,11.91707,-0.7546406,ACACB,acetyl-CoA carboxylase beta
37970_at,6.51E-07,1.29E-09,-7.623379,11.88527,-0.7514678,MAPK8IP3,mitogen-activated protein kinase 8 interacting protein 3
36864_at,6.79E-07,1.62E-09,7.555209,11.6649,0.8809043,PEX3,peroxisomal biogenesis factor 3
34557_at,6.79E-07,1.71E-09,-7.538704,11.61149,-0.681453,MC1R,melanocortin 1 receptor
41462_at,6.79E-07,1.72E-09,7.537313,11.60699,0.7134364,SNX2,sorting nexin 2
33625_g_at,6.79E-07,1.75E-09,-7.532258,11.59063,-0.8042312,CACNA1E,calcium voltage-gated channel subunit alpha1 E
40859_at,6.79E-07,1.77E-09,7.528588,11.57875,1.1901989,ZC3H14,zinc finger CCCH-type containing 14
36002_at,6.79E-07,1.78E-09,7.527627,11.57564,0.8778437,TRAPPC8,trafficking protein particle complex 8
784_g_at,6.79E-07,1.84E-09,7.518129,11.54489,0.8413888,WWP1,WW domain containing E3 ubiquitin protein ligase 1
37642_at,6.79E-07,1.85E-09,7.515171,11.53531,0.6952104,FAM175B,family with sequence similarity 175 member B
37843_i_at,6.79E-07,1.86E-09,-7.514569,11.53336,-0.8084478,IL27RA,interleukin 27 receptor subunit alpha
35304_at,6.79E-07,1.88E-09,7.51063,11.52061,0.7587635,WTH3DI///RAB6A,"RAB6C-like///RAB6A, member RAS oncogene family"
37737_at,7.16E-07,2.04E-09,7.486796,11.4434,1.0904128,PCMT1,protein-L-isoaspartate (D-aspartate) O-methyltransferase
31484_at,7.51E-07,2.24E-09,-7.458719,11.35239,-0.8460944,,
40980_at,7.51E-07,2.28E-09,-7.453392,11.33512,-0.6814384,CHD8,chromodomain helicase DNA binding protein 8
40275_at,7.51E-07,2.33E-09,-7.447316,11.31542,-0.6938999,KPNA6,karyopherin subunit alpha 6
37138_at,7.51E-07,2.45E-09,-7.432198,11.26639,-0.6884881,RAD54L2,RAD54-like 2 (S. cerevisiae)
39964_at,7.51E-07,2.53E-09,7.42266,11.23544,1.2744693,RP2,retinitis pigmentosa 2 (X-linked recessive)
379_at,7.51E-07,2.55E-09,7.420667,11.22898,0.9577428,TXNDC9,thioredoxin domain containing 9
38661_at,7.51E-07,2.56E-09,-7.420112,11.22717,-0.6918642,RBM38,RNA binding motif protein 38
